繁體中文,英文,越南文,最新修改日期,備註
長尾魟,Longtail Stingray,Cá đuối xanh,2025/12/12,2025/12/12 柏文提供越南文
劍旗魚,Swordfish,Cá kiếm,2025/12/12,2025/12/12 柏文提供越南文
錘頭鯊,Hammerhead Shark,Cá Mập Đầu Búa,2025/12/12,2025/12/12 柏文提供越南文
尖牙鯊,Fang Shark,Cá mập răng giáo,2025/12/12,2025/12/12 柏文提供越南文
虎王鯨,Tiger Whale,Cá voi,2025/12/12,2025/12/12 柏文提供越南文
哥吉鯊,Goji Shark,Cá mập sừng,2025/12/12,2025/12/12 柏文提供越南文
六角鯊,Hexagon Shark,Cá mập lục giác,2025/12/12,2025/12/12 柏文提供越南文
骨槌鯊,Bone Hammer Shark,Cá mập xương xanh,2025/12/12,2025/12/12 柏文提供越南文
鱷龍鯊,Croc Dragon Shark,Cá mập rồng,2025/12/12,2025/12/12 柏文提供越南文
長鬚鯊,Whisker Shark,Cá mập râu tím,2025/12/12,2025/12/12 柏文提供越南文
龍龜鯊,Dragon Turtle Shark,Cá mập rùa vàng,2025/12/12,2025/12/12 柏文提供越南文
白蛇娘,White Serpent,Bạch Xà,2025/12/12,2025/12/12 柏文提供越南文
月餅龜,Mooncake Turtle,Rùa Bánh Trung Thu,2025/12/12,2025/12/12 柏文提供越南文
金魚王,Goldfish King,Vua Cá Vàng,2025/12/12,2025/12/12 柏文提供越南文
棕海獺,Brown Sea Otter,Rái Cá Biển,2025/12/12,2025/12/12 柏文提供越南文
招財貓,Lucky Cat,Mèo Thần Tài,2025/12/12,2025/12/12 柏文提供越南文
俏海豹,Cute Seal,Hải Cẩu,2025/12/12,2025/12/12 柏文提供越南文
萌海豚,Adorable Dolphin,Cá Heo Đáng Yêu,2025/12/12,2025/12/12 柏文提供越南文
憨憨鴨,Silly Duck,Vịt Ngây Ngô,2025/12/12,2025/12/12 柏文提供越南文
魔鬼鯊,Devil Shark,Cá Mập Răng Quỷ,2025/12/12,2025/12/12 柏文提供越南文
星寶,Star Treasure,Bảo Bối May Mắn,2025/12/12,2025/12/12 柏文提供越南文
蛇龍鯊,Serpent Dragon Shark,Cá Mập Khủng Long,2025/12/12,2025/12/12 柏文提供越南文
結晶鯊,Crystal Shark,Cá Mập Pha Lê,2025/12/12,2025/12/12 柏文提供越南文
遺跡鯊,Relic Shark,Cá Mập Cổ Đại,2025/12/12,2025/12/12 柏文提供越南文
破冰鯊,Ice Breaker Shark,Cá Mập Băng Giá,2025/12/12,2025/12/12 柏文提供越南文
熔火鯊,Molten Shark,Cá Mập Dung Nham,2025/12/12,2025/12/12 柏文提供越南文
黃金虎鯨,Golden Orca,Cá Hổ Kình Vàng,2025/12/12,2025/12/12 柏文提供越南文
黃金巨齒鯊,Golden Megalodon,Cá Mập Răng Vàng,2025/12/12,2025/12/12 柏文提供越南文
黃金錘頭鯊,Golden Hammerhead,Cá Mập Đầu Búa Vàng,2025/12/12,2025/12/12 柏文提供越南文
黃金海龜,Golden Sea Turtle,Rùa Biển Vàng,2025/12/12,2025/12/12 柏文提供越南文
黃金水母,Golden Jellyfish,Sứa Vàng,2025/12/12,2025/12/12 柏文提供越南文
虎豹鯊,Leopard Shark,Cá mập báo,2025/12/12,2025/12/12 柏文提供越南文
浮游鯊,Drifter Shark,Cá mập phù du,2025/12/12,2025/12/12 柏文提供越南文
酷繽鯊,Cool Tiger Shark,Cá mập hổ,2025/12/12,2025/12/12 柏文提供越南文
抹香鯨,Sperm Whale,Cá nhà táng,2025/12/12,2025/12/12 柏文提供越南文
巨口鯊,Megamouth Shark,Cá Mập Miệng To,2025/12/12,2025/12/12 柏文提供越南文
長嘴鯊,Long Jaw Shark,Cá Mập Hàm Dài,2025/12/12,2025/12/12 柏文提供越南文
殺人鯨,Killer Whale,Cá Voi Sát Thủ,2025/12/12,2025/12/12 柏文提供越南文
鄧氏鯊,Dunkle Shark,Cá Mập Da Phiến,2025/12/12,2025/12/12 柏文提供越南文
魚龍鯊,Ichthyo Shark,Cá Mập Mỏ Nhọn,2025/12/12,2025/12/12 柏文提供越南文
滄龍鯊,Mosasaur Shark,Cá Mập Thằn Lằn,2025/12/12,2025/12/12 柏文提供越南文
長狗鯊,Dachshund Shark,Cá Mập Xúc Xích,2025/12/12,2025/12/12 柏文提供越南文
鬥牛鯊,Bull Shark,Cá Mập Bò Tót,2025/12/12,2025/12/12 柏文提供越南文
巨象鯊,Elephant Shark,Cá Mập Hồng,2025/12/12,2025/12/12 柏文提供越南文
紅包鯊,Red Packet Shark,Cá Mập Lì Xì,2025/12/12,2025/12/12 柏文提供越南文
蜥龍鯊,Lizard Dragon Shark,Cá mập kỳ nhông,2025/12/12,2025/12/12 柏文提供越南文
螢光鯊,Neon Shark,Cá mập nhiều màu,2025/12/12,2025/12/12 柏文提供越南文
鑽角鯊,Drill Horn Shark,Cá Mập Mũi Khoan,2025/12/12,2025/12/12 柏文提供越南文
鎮海玄武,Ocean Guardian Xuanwu,Huyền Vũ Trấn Hải,,
灼焰鳳凰,Blazing Phoenix,Phượng Hoàng Rực Lửa,,
爆竹虎,Firecracker Tiger,Hổ Pháo,2025/12/12,2025/12/12 柏文提供越南文
發財虎,Fortune Tiger,Hổ Phát Tài,2025/12/12,2025/12/12 柏文提供越南文
狼王鯊,Wolf King Shark,Cá Mập Vua Sói,,
三頭鯊,Triple Head Shark,Cá Mập Ba Đầu,,
武者鯊,Warrior Shark,Cá Mập Chiến Binh,,
浪客鯊,Ronin Shark,Cá Mập Lãng Khách,,
梅杜鯊,Medusa Shark,Cá Mập Medusa,,
猛牛鯊,Raging Bull Shark,Cá Mập Bò Điên,,
雷神鯊,Thunder God Shark,Cá Mập Lôi Thần,,
風神鯊,Wind God Shark,Cá Mập Phong Thần,,
企鵝王,Penguin King,Vua Chim Cánh Cụt,,
快樂熊,Happy Bear,Gấu Vui Vẻ,,
積木鯨,Block Whale,Cá Voi Lego,,
哞海牛,Moo Manatee,Lợn Biển,,
鴨嘴獸,Platypus,Thú Mỏ Vịt,,
爆彈鯊,Bomb Shark,Cá Mập Bom,2025/12/12,2025/12/12 柏文提供越南文
岩石鯊,Rock Shark,Cá Mập Nham Thạch,2025/12/12,2025/12/12 柏文提供越南文
幽光魚,Phantom Glow Fish,Cá Đèn Tím,2025/12/12,2025/12/12 柏文提供越南文
冰火魚,Ice Fire Fish,Cá Băng Lửa,2025/12/12,2025/12/12 柏文提供越南文
蝠魟魚,Bat Ray,Cá Đuối Dơi,2025/12/12,2025/12/12 柏文提供越南文
虎牙鯊,Tiger Fang Shark,Cá Mập Răng Hổ,2025/12/12,2025/12/12 柏文提供越南文
刺鰭鯊,Spike Fin Shark,Cá Mập Vây Gai,2025/12/12,2025/12/12 柏文提供越南文
長尾魟王,Longtail Stingray King,Vua Cá Đuối Đuôi Dài,,
劍旗魚王,Swordfish King,Vua Cá Kiếm,,
錘頭鯊王,Hammerhead Shark King,Vua Cá Mập Đầu Búa,,
尖牙鯊王,Fang Shark King,Vua Cá Mập Răng Nhọn,,
虎王鯨王,Tiger Whale King,Vua Cá Voi Hổ,,
哥吉鯊王,Goji Shark King,Vua Cá Mập Titan,,
六角鯊王,Hexagon Shark King,Vua Cá Mập Lục Giác,,
骨槌鯊王,Bone Hammer Shark King,Vua Cá Mập Búa Xương,,
鱷龍鯊王,Croc Dragon Shark King,Vua Cá Mập Rồng Cá Sấu,,
長鬚鯊王,Whisker Shark King,Vua Cá Mập Râu Dài,,
龍龜鯊王,Dragon Turtle Shark King,Vua Cá Mập Rùa Rồng,,
美殼蟹,Hermit Crab,Ốc Mượn Hồn,2025/12/12,2025/12/12 柏文提供越南文
角蛞蝓,Horned Slug,Sên Sừng,2025/12/12,2025/12/12 柏文提供越南文
滑翔魟,Glider Ray,Cá Đuối Dù Lượn,2025/12/12,2025/12/12 柏文提供越南文
大嘴鱷,Big Mouth Croc,Cá Sấu Miệng To,2025/12/12,2025/12/12 柏文提供越南文
懶水豚,Lazy Capybara,Chuột Nước Lười,2025/12/12,2025/12/12 柏文提供越南文
小熊貓,Red Panda,Gấu Trúc Đỏ,2025/12/12,2025/12/12 柏文提供越南文
胖河馬,Chubby Hippo,Hà Mã Béo,2025/12/12,2025/12/12 柏文提供越南文
科技魟,Tech Ray,Cá Đuối Robot,2025/12/12,2025/12/12 柏文提供越南文
刺蝟鼠,Hedgehog Mouse,Chuột Nhím,2025/12/12,2025/12/12 柏文提供越南文
熊武極,Kung Fu Bear,Gấu Võ Cực,2025/12/12,2025/12/12 柏文提供越南文
彩礁龍,Coral Dragon,Rồng San Hô,2025/12/12,2025/12/12 柏文提供越南文
冰斧鯊,Ice Axe Shark,Cá Mập Rìu Băng,2025/12/12,2025/12/12 柏文提供越南文
薑母鴨,Ginger Duck,Vịt Gừng,2025/12/12,2025/12/12 柏文提供越南文
紳士蛙,Gentleman Frog,Quý Ông Ếch,2025/12/12,2025/12/12 柏文提供越南文
開運狸,Lucky Raccoon,Chồn May Mắn,2025/12/12,2025/12/12 柏文提供越南文
聖代狗,Sundae Dog,Cún Kem,2025/12/12,2025/12/12 柏文提供越南文
珊瑚蜥,Coral Lizard,Thằn Lằn San Hô,2025/12/12,2025/12/12 柏文提供越南文
豬漁夫,Pig Fisher,Ngư Dân Lợn,2025/12/12,2025/12/12 柏文提供越南文
飛天兔,Flying Rabbit,Thỏ Bay,2025/12/12,2025/12/12 柏文提供越南文
綠晶龜,Green Crystal Turtle,Rùa Pha Lê,2025/12/12,2025/12/12 柏文提供越南文
眠柴犬,Sleepy Shiba,Chó Shiba,2025/12/12,2025/12/12 柏文提供越南文
猛海象,Mighty Walrus,Voi Biển,2025/12/12,2025/12/12 柏文提供越南文
灰樹懶,Gray Sloth,Xám Lười,2025/12/12,2025/12/12 柏文提供越南文
漂浮象,Floating Elephant,Voi Nổi,2025/12/12,2025/12/12 柏文提供越南文
花蠑螈,Flower Salamander,Cá Rồng Hoa,2025/12/12,2025/12/12 柏文提供越南文
粉紅鶴,Pink Flamingo,Hồng Hạc,2025/12/12,2025/12/12 柏文提供越南文
機電蜥,Mech Lizard,Thằn Lằn Điện,2025/12/12,2025/12/12 柏文提供越南文
刺角鯨,Narwhal,Cá Voi Một Sừng,2025/12/12,2025/12/12 柏文提供越南文
深海蝠,Deep Sea Bat,Dơi Biển,2025/12/12,2025/12/12 柏文提供越南文
龐克魚,Punk Fish,Cá Punk,2025/12/12,2025/12/12 柏文提供越南文
紅龜粿,Red Turtle Cake,Rùa Đỏ,2025/12/12,2025/12/12 柏文提供越南文
蚌殼精,Clam Spirit,Sò Tinh,2025/12/12,2025/12/12 柏文提供越南文
背刀魚,Blade Fish,Cá Đao,2025/12/12,2025/12/12 柏文提供越南文
海龍王,Sea Dragon King,Hải Long Vương,2025/12/12,2025/12/12 柏文提供越南文
冥海獸,Abyss Beast,Quái Thú Vực Sâu,,
蒼角蝦,Blue Horn Shrimp,Tôm Càng Xanh,2025/12/12,2025/12/12 柏文提供越南文
胖海豹,Chubby Seal,Hải Cẩu Mập,2025/12/12,2025/12/12 柏文提供越南文
福氣牛,Lucky Ox,Trâu May Mắn,2025/12/12,2025/12/12 柏文提供越南文
拉花熊,Latte Bear,Gấu Latte,2025/12/12,2025/12/12 柏文提供越南文
霸王鯊,Tyrant Shark,Cá Mập Bá Vương,2025/12/12,2025/12/12 柏文提供越南文
海盜章,Pirate Octopus,Bạch Tuộc Hải Tặc,,
炎海兔,Flame Sea Bunny,Thỏ Biển Lửa,2025/12/12,2025/12/12 柏文提供越南文
寶石狐,Gem Fox,Cáo Đá Quý,2025/12/12,2025/12/12 柏文提供越南文
蜜瓜龜,Melon Turtle,Rùa Dưa Lưới,2025/12/12,2025/12/12 柏文提供越南文
虎豹鯊王,Leopard Shark King,Vua Cá Mập Báo,,
浮游鯊王,Drifter Shark King,Vua Cá Mập Phù Du,,
酷繽鯊王,Cool Tiger Shark King,Vua Cá Mập Hổ,,
抹香鯨王,Sperm Whale King,Vua Cá Nhà Táng,,
盾鱗鱘,Shield Sturgeon,Cá Tầm Vảy Khiên,2025/12/12,2025/12/12 柏文提供越南文
花斑魟,Spotted Ray,Cá Đuối Đốm,2025/12/12,2025/12/12 柏文提供越南文
水虎鯧,Piranha,Cá Răng Đao,2025/12/12,2025/12/12 柏文提供越南文
海鬣蜥,Marine Iguana,Cự Đà Biển,2025/12/12,2025/12/12 柏文提供越南文
錘頭鯊,Hammerhead Shark,Cá Mập Đầu Búa,2025/12/12,2025/12/12 柏文提供越南文
星點鯊,Star Spot Shark,Cá Nhám Điểm Sao,2025/12/12,2025/12/12 柏文提供越南文
逆戟鯨,Orca,Cá Voi Sát Thủ,2025/12/12,2025/12/12 柏文提供越南文
晶牙象,Crystal Tusk Elephant,Voi Biển,2025/12/12,2025/12/12 柏文提供越南文
帝皇魷,Emperor Squid,Mực Hoàng Đế,2025/12/12,2025/12/12 柏文提供越南文
燈籠魚,Lantern Fish,Cá Lồng Đèn,2025/12/12,2025/12/12 柏文提供越南文
骨甲魚,Bone Armor Fish,Cá Giáp Xương,2025/12/12,2025/12/12 柏文提供越南文
腔棘魚,Coelacanth,Cá Vây Tay,2025/12/12,2025/12/12 柏文提供越南文
蝶海豚,Butterfly Dolphin,Cá Heo Bướm,2025/12/12,2025/12/12 柏文提供越南文
麒海豹,Kirin Seal,Hải Cẩu,2025/12/12,2025/12/12 柏文提供越南文
彩殼蟹,Rainbow Crab,Cua Bảy Sắc,2025/12/12,2025/12/12 柏文提供越南文
琵琶魚,Anglerfish,Cá Lau Kính,2025/12/12,2025/12/12 柏文提供越南文
刺螯蝦,Spiny Lobster,Tôm Hùm Đất,2025/12/12,2025/12/12 柏文提供越南文
巨齒魚,Megalodon,Cá Mập Trắng,2025/12/12,2025/12/12 柏文提供越南文
鬼頭刀,Mahi Mahi,Cá Dũa Mahi,2025/12/12,2025/12/12 柏文提供越南文
巨顎魚,Giant Jaw Fish,Cá Hàm Khủng,2025/12/12,2025/12/12 柏文提供越南文
變異鯊,Mutant Shark,Cá Mập Biến Dị,2025/12/12,2025/12/12 柏文提供越南文
兔寶船,Bunny Treasure Ship,Thuyển Thỏ,2025/12/12,2025/12/12 柏文提供越南文
龍門鯉,Dragon Gate Koi,Cá Chép Hóa Rồng,,
獄炎鯊,Inferno Shark,Cá Mập Địa Ngục,2025/12/12,2025/12/12 柏文提供越南文
超人鯊,Super Shark,Cá Mập Siêu Nhân,2025/12/12,2025/12/12 柏文提供越南文
應援魷,Cheering Squid,Mực Viện Trợ,2025/12/12,2025/12/12 柏文提供越南文
大眼猴,Big Eye Monkey,Khỉ Mắt To,2025/12/12,2025/12/12 柏文提供越南文
穿山龍,Mountain Dragon,Rồng Xuyên Núi,2025/12/12,2025/12/12 柏文提供越南文
過江龍,River Dragon,Rồng Vượt Sông,2025/12/12,2025/12/12 柏文提供越南文
乘雲龍,Cloud Rider Dragon,Rồng Cưỡi Mây,2025/12/12,2025/12/12 柏文提供越南文
地皇鯰,Earth Emperor Catfish,Cá Trê Địa Hoàng,2025/12/12,2025/12/12 柏文提供越南文
香包虎,Sachet Tiger,Hổ Túi Thơm,2025/12/12,2025/12/12 柏文提供越南文
天使鯨,Angel Whale,Cá Voi Thiên Sứ,2025/12/12,2025/12/12 柏文提供越南文
甲面鯊,Mask Shark,Cá Mập Mặt Nạ,2025/12/12,2025/12/12 柏文提供越南文
牛角蟹,Horn Crab,Cua Sừng Trâu,2025/12/12,2025/12/12 柏文提供越南文
